province,region,food,search_query,output_relpath
辽宁省,辽北,铁锅炖,铁锅炖 高清实拍 中国美食,中国34省真实图库/辽宁省/辽北/铁锅炖.jpg
辽宁省,辽北,大饼子,大饼子 高清实拍 中国美食,中国34省真实图库/辽宁省/辽北/大饼子.jpg
吉林省,吉中,锅包肉,锅包肉 高清实拍 中国美食,中国34省真实图库/吉林省/吉中/锅包肉.jpg
吉林省,吉中,冷面,冷面 高清实拍 中国美食,中国34省真实图库/吉林省/吉中/冷面.jpg
吉林省,吉中,白肉血肠,白肉血肠 高清实拍 中国美食,中国34省真实图库/吉林省/吉中/白肉血肠.jpg
吉林省,吉东,延吉冷面,延吉冷面 高清实拍 中国美食,中国34省真实图库/吉林省/吉东/延吉冷面.jpg
吉林省,吉东,米肠,米肠 高清实拍 中国美食,中国34省真实图库/吉林省/吉东/米肠.jpg
吉林省,吉东,石锅拌饭,石锅拌饭 高清实拍 中国美食,中国34省真实图库/吉林省/吉东/石锅拌饭.jpg
吉林省,吉西,查干湖鱼宴,查干湖鱼宴 高清实拍 中国美食,中国34省真实图库/吉林省/吉西/查干湖鱼宴.jpg
吉林省,吉西,炖大鹅,炖大鹅 高清实拍 中国美食,中国34省真实图库/吉林省/吉西/炖大鹅.jpg
黑龙江省,哈大齐,红肠,红肠 高清实拍 中国美食,中国34省真实图库/黑龙江省/哈大齐/红肠.jpg
黑龙江省,哈大齐,大列巴,大列巴 高清实拍 中国美食,中国34省真实图库/黑龙江省/哈大齐/大列巴.jpg
黑龙江省,哈大齐,锅包肉,锅包肉 高清实拍 中国美食,中国34省真实图库/黑龙江省/哈大齐/锅包肉.jpg
黑龙江省,三江地区,杀猪菜,杀猪菜 高清实拍 中国美食,中国34省真实图库/黑龙江省/三江地区/杀猪菜.jpg
黑龙江省,三江地区,酸菜白肉,酸菜白肉 高清实拍 中国美食,中国34省真实图库/黑龙江省/三江地区/酸菜白肉.jpg
黑龙江省,黑北,铁锅炖鱼,铁锅炖鱼 高清实拍 中国美食,中国34省真实图库/黑龙江省/黑北/铁锅炖鱼.jpg
黑龙江省,黑北,山野菜,山野菜 高清实拍 中国美食,中国34省真实图库/黑龙江省/黑北/山野菜.jpg
黑龙江省,牡丹江地区,朝鲜冷面,朝鲜冷面 高清实拍 中国美食,中国34省真实图库/黑龙江省/牡丹江地区/朝鲜冷面.jpg
黑龙江省,牡丹江地区,锅包肉,锅包肉 高清实拍 中国美食,中国34省真实图库/黑龙江省/牡丹江地区/锅包肉.jpg
黑龙江省,大兴安岭地区,鹿肉,鹿肉 高清实拍 中国美食,中国34省真实图库/黑龙江省/大兴安岭地区/鹿肉.jpg
黑龙江省,大兴安岭地区,蓝莓制品,蓝莓制品 高清实拍 中国美食,中国34省真实图库/黑龙江省/大兴安岭地区/蓝莓制品.jpg
江苏省,苏南,松鼠鳜鱼,松鼠鳜鱼 高清实拍 中国美食,中国34省真实图库/江苏省/苏南/松鼠鳜鱼.jpg
江苏省,苏南,阳澄湖大闸蟹,阳澄湖大闸蟹 高清实拍 中国美食,中国34省真实图库/江苏省/苏南/阳澄湖大闸蟹.jpg
江苏省,苏南,无锡酱排骨,无锡酱排骨 高清实拍 中国美食,中国34省真实图库/江苏省/苏南/无锡酱排骨.jpg
江苏省,苏中,扬州炒饭,扬州炒饭 高清实拍 中国美食,中国34省真实图库/江苏省/苏中/扬州炒饭.jpg
江苏省,苏中,蟹黄汤包,蟹黄汤包 高清实拍 中国美食,中国34省真实图库/江苏省/苏中/蟹黄汤包.jpg
江苏省,苏中,靖江肉脯,靖江肉脯 高清实拍 中国美食,中国34省真实图库/江苏省/苏中/靖江肉脯.jpg
江苏省,苏北,徐州地锅鸡,徐州地锅鸡 高清实拍 中国美食,中国34省真实图库/江苏省/苏北/徐州地锅鸡.jpg
江苏省,苏北,淮安软兜长鱼,淮安软兜长鱼 高清实拍 中国美食,中国34省真实图库/江苏省/苏北/淮安软兜长鱼.jpg
江苏省,苏北,盐城鸡蛋饼,盐城鸡蛋饼 高清实拍 中国美食,中国34省真实图库/江苏省/苏北/盐城鸡蛋饼.jpg
浙江省,浙北,西湖醋鱼,西湖醋鱼 高清实拍 中国美食,中国34省真实图库/浙江省/浙北/西湖醋鱼.jpg
浙江省,浙北,东坡肉,东坡肉 高清实拍 中国美食,中国34省真实图库/浙江省/浙北/东坡肉.jpg
浙江省,浙北,定胜糕,定胜糕 高清实拍 中国美食,中国34省真实图库/浙江省/浙北/定胜糕.jpg
浙江省,浙东,宁波汤圆,宁波汤圆 高清实拍 中国美食,中国34省真实图库/浙江省/浙东/宁波汤圆.jpg
浙江省,浙东,舟山海鲜,舟山海鲜 高清实拍 中国美食,中国34省真实图库/浙江省/浙东/舟山海鲜.jpg
浙江省,浙东,台州食饼筒,台州食饼筒 高清实拍 中国美食,中国34省真实图库/浙江省/浙东/台州食饼筒.jpg
浙江省,浙中,金华火腿,金华火腿 高清实拍 中国美食,中国34省真实图库/浙江省/浙中/金华火腿.jpg
浙江省,浙中,义乌东河肉饼,义乌东河肉饼 高清实拍 中国美食,中国34省真实图库/浙江省/浙中/义乌东河肉饼.jpg
浙江省,浙西,衢州鸭头,衢州鸭头 高清实拍 中国美食,中国34省真实图库/浙江省/浙西/衢州鸭头.jpg
浙江省,浙西,常山贡面,常山贡面 高清实拍 中国美食,中国34省真实图库/浙江省/浙西/常山贡面.jpg
浙江省,浙南,温州鱼丸,温州鱼丸 高清实拍 中国美食,中国34省真实图库/浙江省/浙南/温州鱼丸.jpg
浙江省,浙南,糯米饭,糯米饭 高清实拍 中国美食,中国34省真实图库/浙江省/浙南/糯米饭.jpg
浙江省,浙南,缙云烧饼,缙云烧饼 高清实拍 中国美食,中国34省真实图库/浙江省/浙南/缙云烧饼.jpg
安徽省,皖北,格拉条,格拉条 高清实拍 中国美食,中国34省真实图库/安徽省/皖北/格拉条.jpg
安徽省,皖北,撒汤,撒汤 高清实拍 中国美食,中国34省真实图库/安徽省/皖北/撒汤.jpg
安徽省,皖北,牛肉汤,牛肉汤 高清实拍 中国美食,中国34省真实图库/安徽省/皖北/牛肉汤.jpg
安徽省,皖中,庐州烤鸭,庐州烤鸭 高清实拍 中国美食,中国34省真实图库/安徽省/皖中/庐州烤鸭.jpg
安徽省,皖中,三河米饺,三河米饺 高清实拍 中国美食,中国34省真实图库/安徽省/皖中/三河米饺.jpg
安徽省,皖南,徽州臭鳜鱼,徽州臭鳜鱼 高清实拍 中国美食,中国34省真实图库/安徽省/皖南/徽州臭鳜鱼.jpg
安徽省,皖南,毛豆腐,毛豆腐 高清实拍 中国美食,中国34省真实图库/安徽省/皖南/毛豆腐.jpg
安徽省,皖南,黄山烧饼,黄山烧饼 高清实拍 中国美食,中国34省真实图库/安徽省/皖南/黄山烧饼.jpg
福建省,闽东,福州鱼丸,福州鱼丸 高清实拍 中国美食,中国34省真实图库/福建省/闽东/福州鱼丸.jpg
福建省,闽东,肉燕,肉燕 高清实拍 中国美食,中国34省真实图库/福建省/闽东/肉燕.jpg
福建省,闽东,佛跳墙,佛跳墙 高清实拍 中国美食,中国34省真实图库/福建省/闽东/佛跳墙.jpg
福建省,闽南,沙茶面,沙茶面 高清实拍 中国美食,中国34省真实图库/福建省/闽南/沙茶面.jpg
福建省,闽南,海蛎煎,海蛎煎 高清实拍 中国美食,中国34省真实图库/福建省/闽南/海蛎煎.jpg
福建省,闽南,土笋冻,土笋冻 高清实拍 中国美食,中国34省真实图库/福建省/闽南/土笋冻.jpg
福建省,闽中,卤面,卤面 高清实拍 中国美食,中国34省真实图库/福建省/闽中/卤面.jpg
福建省,闽中,兴化米粉,兴化米粉 高清实拍 中国美食,中国34省真实图库/福建省/闽中/兴化米粉.jpg
福建省,闽西,长汀豆腐干,长汀豆腐干 高清实拍 中国美食,中国34省真实图库/福建省/闽西/长汀豆腐干.jpg
福建省,闽西,簸箕板,簸箕板 高清实拍 中国美食,中国34省真实图库/福建省/闽西/簸箕板.jpg
福建省,闽北,建瓯光饼,建瓯光饼 高清实拍 中国美食,中国34省真实图库/福建省/闽北/建瓯光饼.jpg
福建省,闽北,熏鹅,熏鹅 高清实拍 中国美食,中国34省真实图库/福建省/闽北/熏鹅.jpg
江西省,赣北,瓦罐汤,瓦罐汤 高清实拍 中国美食,中国34省真实图库/江西省/赣北/瓦罐汤.jpg
江西省,赣北,藜蒿炒腊肉,藜蒿炒腊肉 高清实拍 中国美食,中国34省真实图库/江西省/赣北/藜蒿炒腊肉.jpg
江西省,赣北,景德板鸡,景德板鸡 高清实拍 中国美食,中国34省真实图库/江西省/赣北/景德板鸡.jpg
江西省,赣中,萍乡小炒肉,萍乡小炒肉 高清实拍 中国美食,中国34省真实图库/江西省/赣中/萍乡小炒肉.jpg
江西省,赣中,宜春扎粉,宜春扎粉 高清实拍 中国美食,中国34省真实图库/江西省/赣中/宜春扎粉.jpg
江西省,赣南,赣南小炒鱼,赣南小炒鱼 高清实拍 中国美食,中国34省真实图库/江西省/赣南/赣南小炒鱼.jpg
江西省,赣南,南安板鸭,南安板鸭 高清实拍 中国美食,中国34省真实图库/江西省/赣南/南安板鸭.jpg
江西省,赣南,米粉鱼,米粉鱼 高清实拍 中国美食,中国34省真实图库/江西省/赣南/米粉鱼.jpg
山东省,半岛,鲅鱼水饺,鲅鱼水饺 高清实拍 中国美食,中国34省真实图库/山东省/半岛/鲅鱼水饺.jpg
山东省,半岛,海肠捞饭,海肠捞饭 高清实拍 中国美食,中国34省真实图库/山东省/半岛/海肠捞饭.jpg
山东省,半岛,海鲜锅贴,海鲜锅贴 高清实拍 中国美食,中国34省真实图库/山东省/半岛/海鲜锅贴.jpg
山东省,鲁中,把子肉,把子肉 高清实拍 中国美食,中国34省真实图库/山东省/鲁中/把子肉.jpg
山东省,鲁中,九转大肠,九转大肠 高清实拍 中国美食,中国34省真实图库/山东省/鲁中/九转大肠.jpg
山东省,鲁中,甜沫,甜沫 高清实拍 中国美食,中国34省真实图库/山东省/鲁中/甜沫.jpg
山东省,鲁西北,德州扒鸡,德州扒鸡 高清实拍 中国美食,中国34省真实图库/山东省/鲁西北/德州扒鸡.jpg
山东省,鲁西北,聊城呱嗒,聊城呱嗒 高清实拍 中国美食,中国34省真实图库/山东省/鲁西北/聊城呱嗒.jpg
山东省,鲁南,临沂炒鸡,临沂炒鸡 高清实拍 中国美食,中国34省真实图库/山东省/鲁南/临沂炒鸡.jpg
山东省,鲁南,枣庄辣子鸡,枣庄辣子鸡 高清实拍 中国美食,中国34省真实图库/山东省/鲁南/枣庄辣子鸡.jpg
山东省,鲁南,单县羊汤,单县羊汤 高清实拍 中国美食,中国34省真实图库/山东省/鲁南/单县羊汤.jpg
河南省,豫北,道口烧鸡,道口烧鸡 高清实拍 中国美食,中国34省真实图库/河南省/豫北/道口烧鸡.jpg
河南省,豫北,烩面,烩面 高清实拍 中国美食,中国34省真实图库/河南省/豫北/烩面.jpg
河南省,豫北,胡辣汤,胡辣汤 高清实拍 中国美食,中国34省真实图库/河南省/豫北/胡辣汤.jpg
河南省,豫西,洛阳水席,洛阳水席 高清实拍 中国美食,中国34省真实图库/河南省/豫西/洛阳水席.jpg
河南省,豫西,浆面条,浆面条 高清实拍 中国美食,中国34省真实图库/河南省/豫西/浆面条.jpg
河南省,豫中,郑州烩面,郑州烩面 高清实拍 中国美食,中国34省真实图库/河南省/豫中/郑州烩面.jpg
河南省,豫中,开封灌汤包,开封灌汤包 高清实拍 中国美食,中国34省真实图库/河南省/豫中/开封灌汤包.jpg
河南省,豫东,逍遥镇胡辣汤,逍遥镇胡辣汤 高清实拍 中国美食,中国34省真实图库/河南省/豫东/逍遥镇胡辣汤.jpg
河南省,豫东,烧饼夹肉,烧饼夹肉 高清实拍 中国美食,中国34省真实图库/河南省/豫东/烧饼夹肉.jpg
河南省,豫南,信阳热干面,信阳热干面 高清实拍 中国美食,中国34省真实图库/河南省/豫南/信阳热干面.jpg
河南省,豫南,南阳黄牛肉汤,南阳黄牛肉汤 高清实拍 中国美食,中国34省真实图库/河南省/豫南/南阳黄牛肉汤.jpg
湖北省,鄂东,武穴酥糖,武穴酥糖 高清实拍 中国美食,中国34省真实图库/湖北省/鄂东/武穴酥糖.jpg
湖北省,鄂东,黄石港饼,黄石港饼 高清实拍 中国美食,中国34省真实图库/湖北省/鄂东/黄石港饼.jpg
湖北省,鄂中,热干面,热干面 高清实拍 中国美食,中国34省真实图库/湖北省/鄂中/热干面.jpg
湖北省,鄂中,豆皮,豆皮 高清实拍 中国美食,中国34省真实图库/湖北省/鄂中/豆皮.jpg
湖北省,鄂中,鸭脖,鸭脖 高清实拍 中国美食,中国34省真实图库/湖北省/鄂中/鸭脖.jpg
湖北省,鄂西,恩施炕土豆,恩施炕土豆 高清实拍 中国美食,中国34省真实图库/湖北省/鄂西/恩施炕土豆.jpg
湖北省,鄂西,腊肉,腊肉 高清实拍 中国美食,中国34省真实图库/湖北省/鄂西/腊肉.jpg
湖北省,鄂西,土家油茶汤,土家油茶汤 高清实拍 中国美食,中国34省真实图库/湖北省/鄂西/土家油茶汤.jpg
湖北省,鄂北,襄阳牛肉面,襄阳牛肉面 高清实拍 中国美食,中国34省真实图库/湖北省/鄂北/襄阳牛肉面.jpg
湖北省,鄂南,荆州鱼糕,荆州鱼糕 高清实拍 中国美食,中国34省真实图库/湖北省/鄂南/荆州鱼糕.jpg
湖北省,鄂南,荆门矮子馅饼,荆门矮子馅饼 高清实拍 中国美食,中国34省真实图库/湖北省/鄂南/荆门矮子馅饼.jpg
湖南省,湘北,口味虾,口味虾 高清实拍 中国美食,中国34省真实图库/湖南省/湘北/口味虾.jpg
湖南省,湘北,剁椒鱼头,剁椒鱼头 高清实拍 中国美食,中国34省真实图库/湖南省/湘北/剁椒鱼头.jpg
湖南省,湘北,常德牛肉粉,常德牛肉粉 高清实拍 中国美食,中国34省真实图库/湖南省/湘北/常德牛肉粉.jpg
湖南省,湘中,湘潭槟榔芋,湘潭槟榔芋 高清实拍 中国美食,中国34省真实图库/湖南省/湘中/湘潭槟榔芋.jpg
湖南省,湘中,娄底米粉,娄底米粉 高清实拍 中国美食,中国34省真实图库/湖南省/湘中/娄底米粉.jpg
湖南省,湘南,东安鸡,东安鸡 高清实拍 中国美食,中国34省真实图库/湖南省/湘南/东安鸡.jpg
湖南省,湘南,永州血鸭,永州血鸭 高清实拍 中国美食,中国34省真实图库/湖南省/湘南/永州血鸭.jpg
湖南省,湘南,郴州鱼粉,郴州鱼粉 高清实拍 中国美食,中国34省真实图库/湖南省/湘南/郴州鱼粉.jpg
湖南省,湘西,腊肉,腊肉 高清实拍 中国美食,中国34省真实图库/湖南省/湘西/腊肉.jpg
湖南省,湘西,米豆腐,米豆腐 高清实拍 中国美食,中国34省真实图库/湖南省/湘西/米豆腐.jpg
湖南省,湘西,血粑鸭,血粑鸭 高清实拍 中国美食,中国34省真实图库/湖南省/湘西/血粑鸭.jpg
广东省,珠三角,早茶点心,早茶点心 高清实拍 中国美食,中国34省真实图库/广东省/珠三角/早茶点心.jpg
广东省,珠三角,烧鹅,烧鹅 高清实拍 中国美食,中国34省真实图库/广东省/珠三角/烧鹅.jpg
广东省,珠三角,云吞面,云吞面 高清实拍 中国美食,中国34省真实图库/广东省/珠三角/云吞面.jpg
广东省,粤东,牛肉丸,牛肉丸 高清实拍 中国美食,中国34省真实图库/广东省/粤东/牛肉丸.jpg
广东省,粤东,粿条汤,粿条汤 高清实拍 中国美食,中国34省真实图库/广东省/粤东/粿条汤.jpg
广东省,粤东,蚝烙,蚝烙 高清实拍 中国美食,中国34省真实图库/广东省/粤东/蚝烙.jpg
广东省,粤西,白切鸡,白切鸡 高清实拍 中国美食,中国34省真实图库/广东省/粤西/白切鸡.jpg
广东省,粤西,簸箕炊,簸箕炊 高清实拍 中国美食,中国34省真实图库/广东省/粤西/簸箕炊.jpg
广东省,粤西,海鲜粥,海鲜粥 高清实拍 中国美食,中国34省真实图库/广东省/粤西/海鲜粥.jpg
广东省,粤北,酿豆腐,酿豆腐 高清实拍 中国美食,中国34省真实图库/广东省/粤北/酿豆腐.jpg
广东省,粤北,盐焗鸡,盐焗鸡 高清实拍 中国美食,中国34省真实图库/广东省/粤北/盐焗鸡.jpg
广东省,粤北,山坑螺,山坑螺 高清实拍 中国美食,中国34省真实图库/广东省/粤北/山坑螺.jpg
海南省,琼北,清补凉,清补凉 高清实拍 中国美食,中国34省真实图库/海南省/琼北/清补凉.jpg
海南省,琼北,海南粉,海南粉 高清实拍 中国美食,中国34省真实图库/海南省/琼北/海南粉.jpg
海南省,琼南,文昌鸡,文昌鸡 高清实拍 中国美食,中国34省真实图库/海南省/琼南/文昌鸡.jpg
海南省,琼南,椰子鸡,椰子鸡 高清实拍 中国美食,中国34省真实图库/海南省/琼南/椰子鸡.jpg
海南省,琼南,抱罗粉,抱罗粉 高清实拍 中国美食,中国34省真实图库/海南省/琼南/抱罗粉.jpg
海南省,琼东,后安粉,后安粉 高清实拍 中国美食,中国34省真实图库/海南省/琼东/后安粉.jpg
海南省,琼西,东山羊,东山羊 高清实拍 中国美食,中国34省真实图库/海南省/琼西/东山羊.jpg
海南省,琼西,和乐蟹,和乐蟹 高清实拍 中国美食,中国34省真实图库/海南省/琼西/和乐蟹.jpg
四川省,成都平原,担担面,担担面 高清实拍 中国美食,中国34省真实图库/四川省/成都平原/担担面.jpg
四川省,成都平原,钟水饺,钟水饺 高清实拍 中国美食,中国34省真实图库/四川省/成都平原/钟水饺.jpg
四川省,成都平原,龙抄手,龙抄手 高清实拍 中国美食,中国34省真实图库/四川省/成都平原/龙抄手.jpg
四川省,川南,燃面,燃面 高清实拍 中国美食,中国34省真实图库/四川省/川南/燃面.jpg
四川省,川南,冷吃兔,冷吃兔 高清实拍 中国美食,中国34省真实图库/四川省/川南/冷吃兔.jpg
四川省,川南,豆花饭,豆花饭 高清实拍 中国美食,中国34省真实图库/四川省/川南/豆花饭.jpg
四川省,川东北,巴中腊肉,巴中腊肉 高清实拍 中国美食,中国34省真实图库/四川省/川东北/巴中腊肉.jpg
四川省,川东北,广安盐皮蛋,广安盐皮蛋 高清实拍 中国美食,中国34省真实图库/四川省/川东北/广安盐皮蛋.jpg
四川省,川东北,南充米粉,南充米粉 高清实拍 中国美食,中国34省真实图库/四川省/川东北/南充米粉.jpg
四川省,川中,遂宁冲,遂宁冲 高清实拍 中国美食,中国34省真实图库/四川省/川中/遂宁冲.jpg
四川省,川中,观音素麻花,观音素麻花 高清实拍 中国美食,中国34省真实图库/四川省/川中/观音素麻花.jpg
四川省,川西,牦牛肉,牦牛肉 高清实拍 中国美食,中国34省真实图库/四川省/川西/牦牛肉.jpg
四川省,川西,酥油茶,酥油茶 高清实拍 中国美食,中国34省真实图库/四川省/川西/酥油茶.jpg
四川省,川西,青稞饼,青稞饼 高清实拍 中国美食,中国34省真实图库/四川省/川西/青稞饼.jpg
贵州省,黔中,丝娃娃,丝娃娃 高清实拍 中国美食,中国34省真实图库/贵州省/黔中/丝娃娃.jpg
贵州省,黔中,肠旺面,肠旺面 高清实拍 中国美食,中国34省真实图库/贵州省/黔中/肠旺面.jpg
贵州省,黔北,羊肉粉,羊肉粉 高清实拍 中国美食,中国34省真实图库/贵州省/黔北/羊肉粉.jpg
贵州省,黔北,豆花面,豆花面 高清实拍 中国美食,中国34省真实图库/贵州省/黔北/豆花面.jpg
贵州省,黔东南,酸汤鱼,酸汤鱼 高清实拍 中国美食,中国34省真实图库/贵州省/黔东南/酸汤鱼.jpg
贵州省,黔东南,牛瘪火锅,牛瘪火锅 高清实拍 中国美食,中国34省真实图库/贵州省/黔东南/牛瘪火锅.jpg
贵州省,黔东南,糯米饭,糯米饭 高清实拍 中国美食,中国34省真实图库/贵州省/黔东南/糯米饭.jpg
贵州省,黔西,烙锅,烙锅 高清实拍 中国美食,中国34省真实图库/贵州省/黔西/烙锅.jpg
贵州省,黔西,豆米火锅,豆米火锅 高清实拍 中国美食,中国34省真实图库/贵州省/黔西/豆米火锅.jpg
贵州省,黔西,花溪牛肉粉,花溪牛肉粉 高清实拍 中国美食,中国34省真实图库/贵州省/黔西/花溪牛肉粉.jpg
云南省,滇中,过桥米线,过桥米线 高清实拍 中国美食,中国34省真实图库/云南省/滇中/过桥米线.jpg
云南省,滇中,汽锅鸡,汽锅鸡 高清实拍 中国美食,中国34省真实图库/云南省/滇中/汽锅鸡.jpg
云南省,滇东,宣威火腿,宣威火腿 高清实拍 中国美食,中国34省真实图库/云南省/滇东/宣威火腿.jpg
云南省,滇东,小锅米线,小锅米线 高清实拍 中国美食,中国34省真实图库/云南省/滇东/小锅米线.jpg
云南省,滇西,饵丝,饵丝 高清实拍 中国美食,中国34省真实图库/云南省/滇西/饵丝.jpg
云南省,滇西,乳扇,乳扇 高清实拍 中国美食,中国34省真实图库/云南省/滇西/乳扇.jpg
云南省,滇西,土锅子,土锅子 高清实拍 中国美食,中国34省真实图库/云南省/滇西/土锅子.jpg
云南省,滇南,傣味烧烤,傣味烧烤 高清实拍 中国美食,中国34省真实图库/云南省/滇南/傣味烧烤.jpg
云南省,滇南,菠萝饭,菠萝饭 高清实拍 中国美食,中国34省真实图库/云南省/滇南/菠萝饭.jpg
云南省,滇南,手抓饭,手抓饭 高清实拍 中国美食,中国34省真实图库/云南省/滇南/手抓饭.jpg
西藏自治区,藏中,甜茶,甜茶 高清实拍 中国美食,中国34省真实图库/西藏自治区/藏中/甜茶.jpg
西藏自治区,藏中,藏面,藏面 高清实拍 中国美食,中国34省真实图库/西藏自治区/藏中/藏面.jpg
西藏自治区,藏东,风干牛肉,风干牛肉 高清实拍 中国美食,中国34省真实图库/西藏自治区/藏东/风干牛肉.jpg
西藏自治区,藏南,石锅鸡,石锅鸡 高清实拍 中国美食,中国34省真实图库/西藏自治区/藏南/石锅鸡.jpg
西藏自治区,藏西,糌粑,糌粑 高清实拍 中国美食,中国34省真实图库/西藏自治区/藏西/糌粑.jpg
西藏自治区,藏西,酥油茶,酥油茶 高清实拍 中国美食,中国34省真实图库/西藏自治区/藏西/酥油茶.jpg
西藏自治区,藏北,牦牛肉干,牦牛肉干 高清实拍 中国美食,中国34省真实图库/西藏自治区/藏北/牦牛肉干.jpg
陕西省,陕北,羊肉面,羊肉面 高清实拍 中国美食,中国34省真实图库/陕西省/陕北/羊肉面.jpg
